Expo_Country,Expo_Year,Expo_Amount
Indonesia,2014,1
United States of America,2014,2
China,2015,1
Japan,2016,5
United States of America,2016,7
Canada,2016,1
Mexico,2016,2
Taiwan,2016,1
China,2016,2
Malaysia,2017,1
United States of America,2018,6
Mexico,2018,1
France,2018,1
Germany,2018,1
United Kingdom,2018,1
Taiwan,2019,1
China,2019,1
United Kingdom,2020,1
France,2020,1
Germany,2020,1
Netherlands,2020,1
Spain,2020,1
Canada,2024,2
United States of America,2024,14
Mexico,2024,1
United Kingdom,2024,1
Belgium,2024,1
France,2024,1
Netherlands,2024,1
Germany,2024,2
New Zealand,2024,1
Australia,2024,3
