Song_Name,Song_Artist,Song_Vocalist,Song_Plays(Mil)
Senbonzakura,Kurousa-P,Miku,38.3
Kocchi Muite Baby,ryo,Miku,6
Marginal,OSTER project,Miku,0.4
Love-Coloured Ward,OSTER project,Miku,2.5
Colourful x Melody,OSTER project & doriko,Miku & Rin,1.2
Fire◎Flower,halyosy,Len,7.1
Butterfly on Your Right Shoulder,noripy,Rin & Len,38
Melancholic,Junky,Rin,26
Kokoro,Toraboruta,Rin,6.5
Torinoko City,40mP,Miku,10.5
Close and Open,HACHI,Miku,11
Romeo and Cinderella,doriko,Miku,66
Piano×Forte×Scandal,OSTER project,Meiko,3
Pane dhiria,ShinjouP,Kaito,0.5
A Thousand-Year Solo,yanagiP,Kaito,1.3
PoPiPo,LamazeP,Miku,5
The Snow White Princess is,Noboru,Miku,4.9
Venus di Ujung Jari,mohax_2000,Miku,0.3
Double Lariat,Agoaniki,Luka,13.1
Luka Luka★Night Fever,samfree,Luka,36.5
Secret Police,BuririP,Miku,1
Yellow,kz,Miku,1
Melt,ryo,Miku,34
The Intense Voice of Hatsune Miku,cosMo@BousouP,Miku,5
Tell Your World,kz,Miku,50.5
I'll Make You Do the Miku Miku♪ (You'll Do It),ika,Miku,17.4
letter song,doriko,Miku,0.5
Sharing The World,BIGHEAD,Miku,1.3
Glass Wall,GuitarHeroPianoZero,Miku,2.1
Parades,whoo,Miku,0.1
Just be Friends,Dixie Flatline,Luka,18.7
World is Mine,"ryo, supercell",Miku,67.5
Starduster,JimmyThumbP,Miku,1.2
2D Dream Fever,PolyphonicBranch,Miku,3.1
Two-Sided Lovers,Wowaka,Miku,43.5
Common World Denomination,PinnochioP,Miku,19.7
Tokyo Teddy Bear,Neru & Ore BananaP,Rin,37.2
Meltdown,iroha,Rin,55.8
Spinning Song,DATEKEN,Rin & Len,1.1
Weekender Girl,kz & HachioujiP,Miku,15.7
World's End Dancehall,wowaka,Miku & Luka,45.5
Daybreak Arrival,Last Note,Miku & Luka,5.2
Change Me,shu-t,Meiko,1.7
Deep Sea Girl,Yuuyu,Miku,29.3
"Last Night, Good Night",kz,Miku,3.8
Cat Food,doriko,Miku,4.2
ODDS&ENDS,ryo,Miku,17.5
Moon West River,SolPie,Miku,0.1
39,DECO*27 & sasakure,Miku,7.2
Star Fragment,marasy,Miku,0.1
The Disappearance of Hatsune Miku -DEAD END-,cosMo@BousouP,Miku,20.7
Unhappy Refrain,wowaka,Miku,18.3
magnet,Minato Takahiro,Miku & Luka,10.1
Love Words,DECO*27,Miku,5.2
Snowman,halyosy,Kaito,0.1
Remote Control,JesusP,Rin & Len,19.2
Love is War,ryo,Miku,4
