Expo_Name,Expo_Year,Expo_Country,Expo_City,Setlist,Song_Name,Song_Artist,Song_Vocalist,Song_Plays(Mil)
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Senbonzakura,Kurousa-P,Miku,38.3
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Kocchi Muite Baby,ryo,Miku,6
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Marginal,OSTER project,Miku,0.4
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Love-Coloured Ward,OSTER project,Miku,2.5
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Colourful x Melody,OSTER project & doriko,Miku & Rin,1.2
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Fire◎Flower,halyosy,Len,7.1
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Butterfly on Your Right Shoulder,noripy,Rin & Len,38
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Melancholic,Junky,Rin,26
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Kokoro,Toraboruta,Rin,6.5
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Torinoko City,40mP,Miku,10.5
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Close and Open,HACHI,Miku,11
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Romeo and Cinderella,doriko,Miku,66
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Piano×Forte×Scandal,OSTER project,Meiko,3
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Pane dhiria,ShinjouP,Kaito,0.5
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,A Thousand-Year Solo,yanagiP,Kaito,1.3
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,PoPiPo,LamazeP,Miku,5
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,The Snow White Princess is,Noboru,Miku,4.9
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Venus at the Fingertips,mohax_2000,Miku,0.3
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Double Lariat,Agoaniki,Luka,13.1
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Luka Luka★Night Fever,samfree,Luka,36.5
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Secret Police,BuririP,Miku,1
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Yellow,kz,Miku,1
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Melt,ryo,Miku,34
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,The Intense Voice of Hatsune Miku,cosMo@BousouP,Miku,5
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,Tell Your World,kz,Miku,50.5
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,I'll Make You Do the Miku Miku♪ (You'll Do It),ika,Miku,17.4
Miku Expo 2014 Indonesia,2014,Indonesia,Jakarta,Miku Expo 2014 Indonesia,letter song,doriko,Miku,0.5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Sharing The World,BIGHEAD,Miku,1.3
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Senbonzakura,Kurousa-P,Miku,38.3
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Kocchi Muite Baby,ryo,Miku,6
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Love-Coloured Ward,OSTER project,Miku,2.5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Colourful x Melody,OSTER project & doriko,Miku & Rin,1.2
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Fire◎Flower,halyosy,Len,7.1
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Butterfly on Your Right Shoulder,noripy,Rin & Len,38
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Melancholic,Junky,Rin,26
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Kokoro,Toraboruta,Rin,6.5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Glass Wall,GuitarHeroPianoZero,Miku,2.1
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Torinoko City,40mP,Miku,10.5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Close and Open,HACHI,Miku,11
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Romeo and Cinderella,doriko,Miku,66
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,The Snow White Princess is,Noboru,Miku,4.9
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Piano×Forte×Scandal,OSTER project,Meiko,3
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Pane dhiria,ShinjouP,Kaito,0.5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,PoPiPo,LamazeP,Miku,5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Parades,whoo,Miku,0.1
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Just be Friends,Dixie Flatline,Luka,18.7
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Luka Luka★Night Fever,samfree,Luka,36.5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Secret Police,BuririP,Miku,1
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Yellow,kz,Miku,1
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,World is Mine,"ryo, supercell",Miku,67.5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Melt,ryo,Miku,34
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,Tell Your World,kz,Miku,50.5
Miku Expo 2014 Los Angeles,2014,United States of America,Los Angeles,Miku Expo 2014 USA,I'll Make You Do the Miku Miku♪ (You'll Do It),ika,Miku,17.4
